"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","Get courses","LMS service","Thu Mar 05 20:25:24 UTC 2026","passed","Thu Mar 05 20:25:24 UTC 2026","Get entities","Courses","",""
"","56","Create file with empty filename","LMS service","Thu Mar 05 20:25:26 UTC 2026","passed","Thu Mar 05 20:25:26 UTC 2026","Validate entity","Files","",""
"","598","Create exercise","LMS service","Thu Mar 05 20:25:25 UTC 2026","passed","Thu Mar 05 20:25:26 UTC 2026","Create entity","Exercises","",""
"","571","Create file with empty directory","LMS service","Thu Mar 05 20:25:25 UTC 2026","passed","Thu Mar 05 20:25:26 UTC 2026","Validate entity","Files","",""
"","1679","Create user","tests.users","Thu Mar 05 20:25:26 UTC 2026","passed","Thu Mar 05 20:25:27 UTC 2026","TestUsers","test_users","",""
"","1668","Create user","tests.users","Thu Mar 05 20:25:26 UTC 2026","passed","Thu Mar 05 20:25:28 UTC 2026","TestUsers","test_users","",""
"","62","Get course","LMS service","Thu Mar 05 20:25:24 UTC 2026","passed","Thu Mar 05 20:25:24 UTC 2026","Get entity","Courses","",""
"","579","Login with correct email and password","LMS service","Thu Mar 05 20:25:18 UTC 2026","passed","Thu Mar 05 20:25:18 UTC 2026","Login","Authentication","",""
"","608","Update exercise","LMS service","Thu Mar 05 20:25:25 UTC 2026","passed","Thu Mar 05 20:25:26 UTC 2026","Update entity","Exercises","",""
"","351","Create course","LMS service","Thu Mar 05 20:25:20 UTC 2026","passed","Thu Mar 05 20:25:20 UTC 2026","Create entity","Courses","",""
"","0","Successful refresh token","LMS service","Thu Mar 05 20:25:18 UTC 2026","skipped","Thu Mar 05 20:25:18 UTC 2026","Refresh token","Authentication","",""
"","274","Get user","tests.users","Thu Mar 05 20:25:29 UTC 2026","passed","Thu Mar 05 20:25:29 UTC 2026","TestUsers","test_users","",""
"","64","Create file","LMS service","Thu Mar 05 20:25:20 UTC 2026","passed","Thu Mar 05 20:25:20 UTC 2026","Create entity","Files","",""
"","1619","Create user","tests.users","Thu Mar 05 20:25:26 UTC 2026","passed","Thu Mar 05 20:25:27 UTC 2026","TestUsers","test_users","",""
"","823","Create file with incorrect file id","LMS service","Thu Mar 05 20:25:25 UTC 2026","passed","Thu Mar 05 20:25:26 UTC 2026","Validate entity","Files","",""
"","882","Delete exercise","LMS service","Thu Mar 05 20:25:20 UTC 2026","passed","Thu Mar 05 20:25:21 UTC 2026","Delete entity","Exercises","",""
"","303","Get exercises","LMS service","Thu Mar 05 20:25:25 UTC 2026","passed","Thu Mar 05 20:25:25 UTC 2026","Get entities","Exercises","",""
"","802","Get user me","tests.users","Thu Mar 05 20:25:28 UTC 2026","passed","Thu Mar 05 20:25:29 UTC 2026","TestUsers","test_users","",""
"","540","Update user","tests.users","Thu Mar 05 20:25:29 UTC 2026","passed","Thu Mar 05 20:25:29 UTC 2026","TestUsers","test_users","",""
"","354","Update course","LMS service","Thu Mar 05 20:25:20 UTC 2026","passed","Thu Mar 05 20:25:20 UTC 2026","Update entity","Courses","",""
"","38","Delete file","LMS service","Thu Mar 05 20:25:27 UTC 2026","passed","Thu Mar 05 20:25:28 UTC 2026","Delete entity","Files","",""
"","856","Get exercise","LMS service","Thu Mar 05 20:25:21 UTC 2026","passed","Thu Mar 05 20:25:21 UTC 2026","Get entity","Exercises","",""
"","905","Delete course","LMS service","Thu Mar 05 20:25:20 UTC 2026","passed","Thu Mar 05 20:25:21 UTC 2026","Delete entity","Courses","",""
"","302","Delete user","tests.users","Thu Mar 05 20:25:29 UTC 2026","passed","Thu Mar 05 20:25:30 UTC 2026","TestUsers","test_users","",""
"","580","Get file","LMS service","Thu Mar 05 20:25:23 UTC 2026","passed","Thu Mar 05 20:25:24 UTC 2026","Get entity","Files","",""
