"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","843","Get exercises","LMS service","Mon Mar 09 15:12:20 UTC 2026","passed","Mon Mar 09 15:12:21 UTC 2026","Get entities","Exercises","",""
"","299","Get file","LMS service","Mon Mar 09 15:12:22 UTC 2026","passed","Mon Mar 09 15:12:23 UTC 2026","Get entity","Files","",""
"","1052","Create user","tests.users","Mon Mar 09 15:12:23 UTC 2026","passed","Mon Mar 09 15:12:24 UTC 2026","TestUsers","test_users","",""
"","618","Delete course","LMS service","Mon Mar 09 15:12:15 UTC 2026","passed","Mon Mar 09 15:12:16 UTC 2026","Delete entity","Courses","",""
"","298","Delete user","tests.users","Mon Mar 09 15:12:26 UTC 2026","passed","Mon Mar 09 15:12:26 UTC 2026","TestUsers","test_users","",""
"","305","Get course","LMS service","Mon Mar 09 15:12:17 UTC 2026","passed","Mon Mar 09 15:12:17 UTC 2026","Get entity","Courses","",""
"","47","Update course","LMS service","Mon Mar 09 15:12:16 UTC 2026","passed","Mon Mar 09 15:12:16 UTC 2026","Update entity","Courses","",""
"","292","Login with correct email and password","LMS service","Mon Mar 09 15:12:14 UTC 2026","passed","Mon Mar 09 15:12:14 UTC 2026","Login","Authentication","",""
"","28","Create exercise","LMS service","Mon Mar 09 15:12:18 UTC 2026","passed","Mon Mar 09 15:12:18 UTC 2026","Create entity","Exercises","",""
"","34","Create file","LMS service","Mon Mar 09 15:12:20 UTC 2026","passed","Mon Mar 09 15:12:20 UTC 2026","Create entity","Files","",""
"","1067","Create user","tests.users","Mon Mar 09 15:12:23 UTC 2026","passed","Mon Mar 09 15:12:24 UTC 2026","TestUsers","test_users","",""
"","542","Create file with incorrect file id","LMS service","Mon Mar 09 15:12:22 UTC 2026","passed","Mon Mar 09 15:12:23 UTC 2026","Validate entity","Files","",""
"","293","Update user","tests.users","Mon Mar 09 15:12:25 UTC 2026","passed","Mon Mar 09 15:12:26 UTC 2026","TestUsers","test_users","",""
"","576","Delete exercise","LMS service","Mon Mar 09 15:12:19 UTC 2026","passed","Mon Mar 09 15:12:20 UTC 2026","Delete entity","Exercises","",""
"","539","Create user","tests.users","Mon Mar 09 15:12:22 UTC 2026","passed","Mon Mar 09 15:12:23 UTC 2026","TestUsers","test_users","",""
"","31","Get exercise","LMS service","Mon Mar 09 15:12:17 UTC 2026","passed","Mon Mar 09 15:12:17 UTC 2026","Get entity","Exercises","",""
"","811","Create file with empty filename","LMS service","Mon Mar 09 15:12:21 UTC 2026","passed","Mon Mar 09 15:12:22 UTC 2026","Validate entity","Files","",""
"","534","Get user me","tests.users","Mon Mar 09 15:12:24 UTC 2026","passed","Mon Mar 09 15:12:25 UTC 2026","TestUsers","test_users","",""
"","537","Create file with empty directory","LMS service","Mon Mar 09 15:12:22 UTC 2026","passed","Mon Mar 09 15:12:22 UTC 2026","Validate entity","Files","",""
"","0","Successful refresh token","LMS service","Mon Mar 09 15:12:14 UTC 2026","skipped","Mon Mar 09 15:12:14 UTC 2026","Refresh token","Authentication","",""
"","29","Delete file","LMS service","Mon Mar 09 15:12:24 UTC 2026","passed","Mon Mar 09 15:12:24 UTC 2026","Delete entity","Files","",""
"","17","Get user","tests.users","Mon Mar 09 15:12:25 UTC 2026","passed","Mon Mar 09 15:12:25 UTC 2026","TestUsers","test_users","",""
"","52","Create course","LMS service","Mon Mar 09 15:12:15 UTC 2026","passed","Mon Mar 09 15:12:15 UTC 2026","Create entity","Courses","",""
"","39","Get courses","LMS service","Mon Mar 09 15:12:18 UTC 2026","passed","Mon Mar 09 15:12:18 UTC 2026","Get entities","Courses","",""
"","33","Update exercise","LMS service","Mon Mar 09 15:12:20 UTC 2026","passed","Mon Mar 09 15:12:20 UTC 2026","Update entity","Exercises","",""
