"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1377","Create user","tests.users","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:14 UTC 2026","TestUsers","test_users","",""
"","269","Get user","tests.users","Mon Mar 09 16:02:15 UTC 2026","passed","Mon Mar 09 16:02:16 UTC 2026","TestUsers","test_users","",""
"","346","Delete course","LMS service","Mon Mar 09 16:02:05 UTC 2026","passed","Mon Mar 09 16:02:06 UTC 2026","Delete entity","Courses","",""
"","1081","Create user","tests.users","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:13 UTC 2026","TestUsers","test_users","",""
"","839","Delete user","tests.users","Mon Mar 09 16:02:15 UTC 2026","passed","Mon Mar 09 16:02:16 UTC 2026","TestUsers","test_users","",""
"","75","Create file","LMS service","Mon Mar 09 16:02:10 UTC 2026","passed","Mon Mar 09 16:02:10 UTC 2026","Create entity","Files","",""
"","0","Successful refresh token","LMS service","Mon Mar 09 16:02:04 UTC 2026","skipped","Mon Mar 09 16:02:04 UTC 2026","Refresh token","Authentication","",""
"","1399","Delete file","LMS service","Mon Mar 09 16:02:14 UTC 2026","passed","Mon Mar 09 16:02:16 UTC 2026","Delete entity","Files","",""
"","37","Get exercises","LMS service","Mon Mar 09 16:02:10 UTC 2026","passed","Mon Mar 09 16:02:10 UTC 2026","Get entities","Exercises","",""
"","576","Get exercise","LMS service","Mon Mar 09 16:02:07 UTC 2026","passed","Mon Mar 09 16:02:07 UTC 2026","Get entity","Exercises","",""
"","24","Get file","LMS service","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:12 UTC 2026","Get entity","Files","",""
"","28","Create file with empty filename","LMS service","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:12 UTC 2026","Validate entity","Files","",""
"","560","Create file with empty directory","LMS service","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:12 UTC 2026","Validate entity","Files","",""
"","339","Create course","LMS service","Mon Mar 09 16:02:05 UTC 2026","passed","Mon Mar 09 16:02:06 UTC 2026","Create entity","Courses","",""
"","296","Login with correct email and password","LMS service","Mon Mar 09 16:02:04 UTC 2026","passed","Mon Mar 09 16:02:04 UTC 2026","Login","Authentication","",""
"","331","Update course","LMS service","Mon Mar 09 16:02:05 UTC 2026","passed","Mon Mar 09 16:02:06 UTC 2026","Update entity","Courses","",""
"","26","Delete exercise","LMS service","Mon Mar 09 16:02:10 UTC 2026","passed","Mon Mar 09 16:02:10 UTC 2026","Delete entity","Exercises","",""
"","26","Create file with incorrect file id","LMS service","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:12 UTC 2026","Validate entity","Files","",""
"","845","Create exercise","LMS service","Mon Mar 09 16:02:08 UTC 2026","passed","Mon Mar 09 16:02:09 UTC 2026","Create entity","Exercises","",""
"","28","Update exercise","LMS service","Mon Mar 09 16:02:10 UTC 2026","passed","Mon Mar 09 16:02:10 UTC 2026","Update entity","Exercises","",""
"","329","Get courses","LMS service","Mon Mar 09 16:02:07 UTC 2026","passed","Mon Mar 09 16:02:08 UTC 2026","Get entities","Courses","",""
"","22","Update user","tests.users","Mon Mar 09 16:02:16 UTC 2026","passed","Mon Mar 09 16:02:16 UTC 2026","TestUsers","test_users","",""
"","266","Get user me","tests.users","Mon Mar 09 16:02:15 UTC 2026","passed","Mon Mar 09 16:02:16 UTC 2026","TestUsers","test_users","",""
"","43","Get course","LMS service","Mon Mar 09 16:02:07 UTC 2026","passed","Mon Mar 09 16:02:07 UTC 2026","Get entity","Courses","",""
"","1650","Create user","tests.users","Mon Mar 09 16:02:12 UTC 2026","passed","Mon Mar 09 16:02:14 UTC 2026","TestUsers","test_users","",""
