"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1345","Create user","tests.users","Thu Mar 05 20:41:17 UTC 2026","passed","Thu Mar 05 20:41:19 UTC 2026","TestUsers","test_users","",""
"","833","Login with correct email and password","LMS service","Thu Mar 05 20:41:11 UTC 2026","passed","Thu Mar 05 20:41:12 UTC 2026","Login","Authentication","",""
"","27","Get file","LMS service","Thu Mar 05 20:41:16 UTC 2026","passed","Thu Mar 05 20:41:16 UTC 2026","Get entity","Files","",""
"","536","Get user","tests.users","Thu Mar 05 20:41:21 UTC 2026","passed","Thu Mar 05 20:41:21 UTC 2026","TestUsers","test_users","",""
"","1099","Create file with incorrect file id","LMS service","Thu Mar 05 20:41:18 UTC 2026","passed","Thu Mar 05 20:41:19 UTC 2026","Validate entity","Files","",""
"","51","Create course","LMS service","Thu Mar 05 20:41:12 UTC 2026","passed","Thu Mar 05 20:41:12 UTC 2026","Create entity","Courses","",""
"","45","Create exercise","LMS service","Thu Mar 05 20:41:16 UTC 2026","passed","Thu Mar 05 20:41:16 UTC 2026","Create entity","Exercises","",""
"","276","Update user","tests.users","Thu Mar 05 20:41:21 UTC 2026","passed","Thu Mar 05 20:41:21 UTC 2026","TestUsers","test_users","",""
"","0","Successful refresh token","LMS service","Thu Mar 05 20:41:12 UTC 2026","skipped","Thu Mar 05 20:41:12 UTC 2026","Refresh token","Authentication","",""
"","1096","Create file","LMS service","Thu Mar 05 20:41:12 UTC 2026","passed","Thu Mar 05 20:41:14 UTC 2026","Create entity","Files","",""
"","381","Update course","LMS service","Thu Mar 05 20:41:12 UTC 2026","passed","Thu Mar 05 20:41:12 UTC 2026","Update entity","Courses","",""
"","1083","Create file with empty filename","LMS service","Thu Mar 05 20:41:19 UTC 2026","passed","Thu Mar 05 20:41:20 UTC 2026","Validate entity","Files","",""
"","38","Get exercise","LMS service","Thu Mar 05 20:41:15 UTC 2026","passed","Thu Mar 05 20:41:15 UTC 2026","Get entity","Exercises","",""
"","811","Get user me","tests.users","Thu Mar 05 20:41:19 UTC 2026","passed","Thu Mar 05 20:41:20 UTC 2026","TestUsers","test_users","",""
"","1144","Get courses","LMS service","Thu Mar 05 20:41:16 UTC 2026","passed","Thu Mar 05 20:41:17 UTC 2026","Get entities","Courses","",""
"","39","Delete exercise","LMS service","Thu Mar 05 20:41:12 UTC 2026","passed","Thu Mar 05 20:41:12 UTC 2026","Delete entity","Exercises","",""
"","1354","Create user","tests.users","Thu Mar 05 20:41:19 UTC 2026","passed","Thu Mar 05 20:41:20 UTC 2026","TestUsers","test_users","",""
"","56","Delete file","LMS service","Thu Mar 05 20:41:19 UTC 2026","passed","Thu Mar 05 20:41:19 UTC 2026","Delete entity","Files","",""
"","1389","Create user","tests.users","Thu Mar 05 20:41:16 UTC 2026","passed","Thu Mar 05 20:41:17 UTC 2026","TestUsers","test_users","",""
"","302","Delete user","tests.users","Thu Mar 05 20:41:21 UTC 2026","passed","Thu Mar 05 20:41:22 UTC 2026","TestUsers","test_users","",""
"","323","Get course","LMS service","Thu Mar 05 20:41:15 UTC 2026","passed","Thu Mar 05 20:41:15 UTC 2026","Get entity","Courses","",""
"","46","Create file with empty directory","LMS service","Thu Mar 05 20:41:17 UTC 2026","passed","Thu Mar 05 20:41:17 UTC 2026","Validate entity","Files","",""
"","311","Get exercises","LMS service","Thu Mar 05 20:41:16 UTC 2026","passed","Thu Mar 05 20:41:16 UTC 2026","Get entities","Exercises","",""
"","56","Update exercise","LMS service","Thu Mar 05 20:41:19 UTC 2026","passed","Thu Mar 05 20:41:19 UTC 2026","Update entity","Exercises","",""
"","437","Delete course","LMS service","Thu Mar 05 20:41:12 UTC 2026","passed","Thu Mar 05 20:41:12 UTC 2026","Delete entity","Courses","",""
