"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","606","Update course","LMS service","Thu Mar 05 21:32:44 UTC 2026","passed","Thu Mar 05 21:32:45 UTC 2026","Update entity","Courses","",""
"","841","Delete user","tests.users","Thu Mar 05 21:32:53 UTC 2026","passed","Thu Mar 05 21:32:54 UTC 2026","TestUsers","test_users","",""
"","13","Get user me","tests.users","Thu Mar 05 21:32:55 UTC 2026","passed","Thu Mar 05 21:32:55 UTC 2026","TestUsers","test_users","",""
"","1353","Create user","tests.users","Thu Mar 05 21:32:51 UTC 2026","passed","Thu Mar 05 21:32:52 UTC 2026","TestUsers","test_users","",""
"","1910","Create user","tests.users","Thu Mar 05 21:32:50 UTC 2026","passed","Thu Mar 05 21:32:52 UTC 2026","TestUsers","test_users","",""
"","32","Get exercise","LMS service","Thu Mar 05 21:32:46 UTC 2026","passed","Thu Mar 05 21:32:46 UTC 2026","Get entity","Exercises","",""
"","326","Create course","LMS service","Thu Mar 05 21:32:44 UTC 2026","passed","Thu Mar 05 21:32:44 UTC 2026","Create entity","Courses","",""
"","18","Get user","tests.users","Thu Mar 05 21:32:54 UTC 2026","passed","Thu Mar 05 21:32:54 UTC 2026","TestUsers","test_users","",""
"","27","Create file with empty directory","LMS service","Thu Mar 05 21:32:50 UTC 2026","passed","Thu Mar 05 21:32:50 UTC 2026","Validate entity","Files","",""
"","538","Create file with incorrect file id","LMS service","Thu Mar 05 21:32:52 UTC 2026","passed","Thu Mar 05 21:32:52 UTC 2026","Validate entity","Files","",""
"","544","Create file with empty filename","LMS service","Thu Mar 05 21:32:50 UTC 2026","passed","Thu Mar 05 21:32:50 UTC 2026","Validate entity","Files","",""
"","293","Create user","tests.users","Thu Mar 05 21:32:50 UTC 2026","passed","Thu Mar 05 21:32:51 UTC 2026","TestUsers","test_users","",""
"","33","Get course","LMS service","Thu Mar 05 21:32:46 UTC 2026","passed","Thu Mar 05 21:32:46 UTC 2026","Get entity","Courses","",""
"","301","Create exercise","LMS service","Thu Mar 05 21:32:47 UTC 2026","passed","Thu Mar 05 21:32:47 UTC 2026","Create entity","Exercises","",""
"","31","Get file","LMS service","Thu Mar 05 21:32:50 UTC 2026","passed","Thu Mar 05 21:32:50 UTC 2026","Get entity","Files","",""
"","830","Login with correct email and password","LMS service","Thu Mar 05 21:32:43 UTC 2026","passed","Thu Mar 05 21:32:43 UTC 2026","Login","Authentication","",""
"","35","Update exercise","LMS service","Thu Mar 05 21:32:48 UTC 2026","passed","Thu Mar 05 21:32:48 UTC 2026","Update entity","Exercises","",""
"","33","Get exercises","LMS service","Thu Mar 05 21:32:50 UTC 2026","passed","Thu Mar 05 21:32:50 UTC 2026","Get entities","Exercises","",""
"","30","Create file","LMS service","Thu Mar 05 21:32:48 UTC 2026","passed","Thu Mar 05 21:32:48 UTC 2026","Create entity","Files","",""
"","554","Update user","tests.users","Thu Mar 05 21:32:54 UTC 2026","passed","Thu Mar 05 21:32:54 UTC 2026","TestUsers","test_users","",""
"","0","Successful refresh token","LMS service","Thu Mar 05 21:32:43 UTC 2026","skipped","Thu Mar 05 21:32:43 UTC 2026","Refresh token","Authentication","",""
"","335","Delete course","LMS service","Thu Mar 05 21:32:44 UTC 2026","passed","Thu Mar 05 21:32:45 UTC 2026","Delete entity","Courses","",""
"","585","Get courses","LMS service","Thu Mar 05 21:32:47 UTC 2026","passed","Thu Mar 05 21:32:47 UTC 2026","Get entities","Courses","",""
"","30","Delete exercise","LMS service","Thu Mar 05 21:32:48 UTC 2026","passed","Thu Mar 05 21:32:48 UTC 2026","Delete entity","Exercises","",""
"","1670","Delete file","LMS service","Thu Mar 05 21:32:52 UTC 2026","passed","Thu Mar 05 21:32:54 UTC 2026","Delete entity","Files","",""
