"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","566","Get user me","tests.users","Mon Mar 09 15:16:34 UTC 2026","passed","Mon Mar 09 15:16:35 UTC 2026","TestUsers","test_users","",""
"","299","Delete user","tests.users","Mon Mar 09 15:16:35 UTC 2026","passed","Mon Mar 09 15:16:36 UTC 2026","TestUsers","test_users","",""
"","546","Create file with empty directory","LMS service","Mon Mar 09 15:16:30 UTC 2026","passed","Mon Mar 09 15:16:31 UTC 2026","Validate entity","Files","",""
"","269","Create file","LMS service","Mon Mar 09 15:16:29 UTC 2026","passed","Mon Mar 09 15:16:29 UTC 2026","Create entity","Files","",""
"","596","Update course","LMS service","Mon Mar 09 15:16:25 UTC 2026","passed","Mon Mar 09 15:16:25 UTC 2026","Update entity","Courses","",""
"","35","Delete exercise","LMS service","Mon Mar 09 15:16:30 UTC 2026","passed","Mon Mar 09 15:16:30 UTC 2026","Delete entity","Exercises","",""
"","835","Login with correct email and password","LMS service","Mon Mar 09 15:16:23 UTC 2026","passed","Mon Mar 09 15:16:24 UTC 2026","Login","Authentication","",""
"","1100","Create user","tests.users","Mon Mar 09 15:16:31 UTC 2026","passed","Mon Mar 09 15:16:33 UTC 2026","TestUsers","test_users","",""
"","0","Successful refresh token","LMS service","Mon Mar 09 15:16:24 UTC 2026","skipped","Mon Mar 09 15:16:24 UTC 2026","Refresh token","Authentication","",""
"","26","Create file with incorrect file id","LMS service","Mon Mar 09 15:16:33 UTC 2026","passed","Mon Mar 09 15:16:33 UTC 2026","Validate entity","Files","",""
"","38","Get course","LMS service","Mon Mar 09 15:16:27 UTC 2026","passed","Mon Mar 09 15:16:27 UTC 2026","Get entity","Courses","",""
"","45","Create course","LMS service","Mon Mar 09 15:16:25 UTC 2026","passed","Mon Mar 09 15:16:25 UTC 2026","Create entity","Courses","",""
"","1086","Create user","tests.users","Mon Mar 09 15:16:31 UTC 2026","passed","Mon Mar 09 15:16:33 UTC 2026","TestUsers","test_users","",""
"","569","Get file","LMS service","Mon Mar 09 15:16:31 UTC 2026","passed","Mon Mar 09 15:16:31 UTC 2026","Get entity","Files","",""
"","337","Delete course","LMS service","Mon Mar 09 15:16:25 UTC 2026","passed","Mon Mar 09 15:16:25 UTC 2026","Delete entity","Courses","",""
"","1070","Create user","tests.users","Mon Mar 09 15:16:33 UTC 2026","passed","Mon Mar 09 15:16:34 UTC 2026","TestUsers","test_users","",""
"","575","Get exercise","LMS service","Mon Mar 09 15:16:26 UTC 2026","passed","Mon Mar 09 15:16:26 UTC 2026","Get entity","Exercises","",""
"","19","Get user","tests.users","Mon Mar 09 15:16:34 UTC 2026","passed","Mon Mar 09 15:16:34 UTC 2026","TestUsers","test_users","",""
"","38","Get courses","LMS service","Mon Mar 09 15:16:28 UTC 2026","passed","Mon Mar 09 15:16:28 UTC 2026","Get entities","Courses","",""
"","36","Delete file","LMS service","Mon Mar 09 15:16:33 UTC 2026","passed","Mon Mar 09 15:16:33 UTC 2026","Delete entity","Files","",""
"","547","Create file with empty filename","LMS service","Mon Mar 09 15:16:31 UTC 2026","passed","Mon Mar 09 15:16:31 UTC 2026","Validate entity","Files","",""
"","569","Get exercises","LMS service","Mon Mar 09 15:16:30 UTC 2026","passed","Mon Mar 09 15:16:31 UTC 2026","Get entities","Exercises","",""
"","293","Update user","tests.users","Mon Mar 09 15:16:35 UTC 2026","passed","Mon Mar 09 15:16:35 UTC 2026","TestUsers","test_users","",""
"","32","Create exercise","LMS service","Mon Mar 09 15:16:27 UTC 2026","passed","Mon Mar 09 15:16:27 UTC 2026","Create entity","Exercises","",""
"","32","Update exercise","LMS service","Mon Mar 09 15:16:29 UTC 2026","passed","Mon Mar 09 15:16:29 UTC 2026","Update entity","Exercises","",""
