"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","551","Create file with empty filename","LMS service","Thu Mar 05 20:44:55 UTC 2026","passed","Thu Mar 05 20:44:56 UTC 2026","Validate entity","Files","",""
"","24","Get user me","tests.users","Thu Mar 05 20:44:59 UTC 2026","passed","Thu Mar 05 20:44:59 UTC 2026","TestUsers","test_users","",""
"","578","Create exercise","LMS service","Thu Mar 05 20:44:51 UTC 2026","passed","Thu Mar 05 20:44:52 UTC 2026","Create entity","Exercises","",""
"","819","Login with correct email and password","LMS service","Thu Mar 05 20:44:48 UTC 2026","passed","Thu Mar 05 20:44:48 UTC 2026","Login","Authentication","",""
"","298","Delete file","LMS service","Thu Mar 05 20:44:58 UTC 2026","passed","Thu Mar 05 20:44:59 UTC 2026","Delete entity","Files","",""
"","797","Create file with incorrect file id","LMS service","Thu Mar 05 20:44:55 UTC 2026","passed","Thu Mar 05 20:44:56 UTC 2026","Validate entity","Files","",""
"","584","Update course","LMS service","Thu Mar 05 20:44:49 UTC 2026","passed","Thu Mar 05 20:44:50 UTC 2026","Update entity","Courses","",""
"","326","Create course","LMS service","Thu Mar 05 20:44:49 UTC 2026","passed","Thu Mar 05 20:44:49 UTC 2026","Create entity","Courses","",""
"","1082","Create user","tests.users","Thu Mar 05 20:44:56 UTC 2026","passed","Thu Mar 05 20:44:57 UTC 2026","TestUsers","test_users","",""
"","19","Update user","tests.users","Thu Mar 05 20:45:00 UTC 2026","passed","Thu Mar 05 20:45:00 UTC 2026","TestUsers","test_users","",""
"","22","Get file","LMS service","Thu Mar 05 20:44:56 UTC 2026","passed","Thu Mar 05 20:44:56 UTC 2026","Get entity","Files","",""
"","23","Get exercise","LMS service","Thu Mar 05 20:44:51 UTC 2026","passed","Thu Mar 05 20:44:51 UTC 2026","Get entity","Exercises","",""
"","277","Get user","tests.users","Thu Mar 05 20:44:58 UTC 2026","passed","Thu Mar 05 20:44:59 UTC 2026","TestUsers","test_users","",""
"","651","Delete course","LMS service","Thu Mar 05 20:44:49 UTC 2026","passed","Thu Mar 05 20:44:50 UTC 2026","Delete entity","Courses","",""
"","812","Delete user","tests.users","Thu Mar 05 20:44:59 UTC 2026","passed","Thu Mar 05 20:45:00 UTC 2026","TestUsers","test_users","",""
"","1333","Create user","tests.users","Thu Mar 05 20:44:56 UTC 2026","passed","Thu Mar 05 20:44:57 UTC 2026","TestUsers","test_users","",""
"","46","Create file","LMS service","Thu Mar 05 20:44:53 UTC 2026","passed","Thu Mar 05 20:44:53 UTC 2026","Create entity","Files","",""
"","41","Update exercise","LMS service","Thu Mar 05 20:44:53 UTC 2026","passed","Thu Mar 05 20:44:53 UTC 2026","Update entity","Exercises","",""
"","26","Create file with empty directory","LMS service","Thu Mar 05 20:44:56 UTC 2026","passed","Thu Mar 05 20:44:56 UTC 2026","Validate entity","Files","",""
"","1361","Create user","tests.users","Thu Mar 05 20:44:56 UTC 2026","passed","Thu Mar 05 20:44:57 UTC 2026","TestUsers","test_users","",""
"","26","Get exercises","LMS service","Thu Mar 05 20:44:53 UTC 2026","passed","Thu Mar 05 20:44:54 UTC 2026","Get entities","Exercises","",""
"","48","Delete exercise","LMS service","Thu Mar 05 20:44:53 UTC 2026","passed","Thu Mar 05 20:44:54 UTC 2026","Delete entity","Exercises","",""
"","0","Successful refresh token","LMS service","Thu Mar 05 20:44:48 UTC 2026","skipped","Thu Mar 05 20:44:48 UTC 2026","Refresh token","Authentication","",""
"","41","Get course","LMS service","Thu Mar 05 20:44:51 UTC 2026","passed","Thu Mar 05 20:44:51 UTC 2026","Get entity","Courses","",""
"","314","Get courses","LMS service","Thu Mar 05 20:44:51 UTC 2026","passed","Thu Mar 05 20:44:51 UTC 2026","Get entities","Courses","",""
