"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","578","Get courses","LMS service","Mon Mar 09 15:33:23 UTC 2026","passed","Mon Mar 09 15:33:24 UTC 2026","Get entities","Courses","",""
"","1380","Create user","tests.users","Mon Mar 09 15:33:26 UTC 2026","passed","Mon Mar 09 15:33:27 UTC 2026","TestUsers","test_users","",""
"","300","Get exercise","LMS service","Mon Mar 09 15:33:22 UTC 2026","passed","Mon Mar 09 15:33:22 UTC 2026","Get entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Mon Mar 09 15:33:28 UTC 2026","passed","Mon Mar 09 15:33:28 UTC 2026","Validate entity","Files","",""
"","882","Delete course","LMS service","Mon Mar 09 15:33:20 UTC 2026","passed","Mon Mar 09 15:33:21 UTC 2026","Delete entity","Courses","",""
"","314","Get course","LMS service","Mon Mar 09 15:33:21 UTC 2026","passed","Mon Mar 09 15:33:22 UTC 2026","Get entity","Courses","",""
"","22","Update user","tests.users","Mon Mar 09 15:33:31 UTC 2026","passed","Mon Mar 09 15:33:31 UTC 2026","TestUsers","test_users","",""
"","0","Successful refresh token","LMS service","Mon Mar 09 15:33:20 UTC 2026","skipped","Mon Mar 09 15:33:20 UTC 2026","Refresh token","Authentication","",""
"","1395","Delete file","LMS service","Mon Mar 09 15:33:28 UTC 2026","passed","Mon Mar 09 15:33:30 UTC 2026","Delete entity","Files","",""
"","616","Update course","LMS service","Mon Mar 09 15:33:21 UTC 2026","passed","Mon Mar 09 15:33:21 UTC 2026","Update entity","Courses","",""
"","537","Get user me","tests.users","Mon Mar 09 15:33:30 UTC 2026","passed","Mon Mar 09 15:33:30 UTC 2026","TestUsers","test_users","",""
"","25","Get exercises","LMS service","Mon Mar 09 15:33:26 UTC 2026","passed","Mon Mar 09 15:33:26 UTC 2026","Get entities","Exercises","",""
"","812","Create user","tests.users","Mon Mar 09 15:33:27 UTC 2026","passed","Mon Mar 09 15:33:28 UTC 2026","TestUsers","test_users","",""
"","541","Get user","tests.users","Mon Mar 09 15:33:29 UTC 2026","passed","Mon Mar 09 15:33:30 UTC 2026","TestUsers","test_users","",""
"","576","Update exercise","LMS service","Mon Mar 09 15:33:24 UTC 2026","passed","Mon Mar 09 15:33:25 UTC 2026","Update entity","Exercises","",""
"","26","Get file","LMS service","Mon Mar 09 15:33:26 UTC 2026","passed","Mon Mar 09 15:33:26 UTC 2026","Get entity","Files","",""
"","553","Create file","LMS service","Mon Mar 09 15:33:25 UTC 2026","passed","Mon Mar 09 15:33:25 UTC 2026","Create entity","Files","",""
"","307","Delete exercise","LMS service","Mon Mar 09 15:33:24 UTC 2026","passed","Mon Mar 09 15:33:24 UTC 2026","Delete entity","Exercises","",""
"","41","Create exercise","LMS service","Mon Mar 09 15:33:23 UTC 2026","passed","Mon Mar 09 15:33:23 UTC 2026","Create entity","Exercises","",""
"","806","Create user","tests.users","Mon Mar 09 15:33:27 UTC 2026","passed","Mon Mar 09 15:33:28 UTC 2026","TestUsers","test_users","",""
"","808","Create file with incorrect file id","LMS service","Mon Mar 09 15:33:26 UTC 2026","passed","Mon Mar 09 15:33:27 UTC 2026","Validate entity","Files","",""
"","818","Delete user","tests.users","Mon Mar 09 15:33:30 UTC 2026","passed","Mon Mar 09 15:33:31 UTC 2026","TestUsers","test_users","",""
"","1101","Login with correct email and password","LMS service","Mon Mar 09 15:33:19 UTC 2026","passed","Mon Mar 09 15:33:20 UTC 2026","Login","Authentication","",""
"","281","Create file with empty filename","LMS service","Mon Mar 09 15:33:26 UTC 2026","passed","Mon Mar 09 15:33:26 UTC 2026","Validate entity","Files","",""
"","51","Create course","LMS service","Mon Mar 09 15:33:20 UTC 2026","passed","Mon Mar 09 15:33:20 UTC 2026","Create entity","Courses","",""
