"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","567","Get exercise","LMS service","Mon Mar 09 15:12:03 UTC 2026","passed","Mon Mar 09 15:12:03 UTC 2026","Get entity","Exercises","",""
"","22","Get exercises","LMS service","Mon Mar 09 15:12:06 UTC 2026","passed","Mon Mar 09 15:12:06 UTC 2026","Get entities","Exercises","",""
"","296","Get file","LMS service","Mon Mar 09 15:12:08 UTC 2026","passed","Mon Mar 09 15:12:08 UTC 2026","Get entity","Files","",""
"","250","Get user me","tests.users","Mon Mar 09 15:12:12 UTC 2026","passed","Mon Mar 09 15:12:12 UTC 2026","TestUsers","test_users","",""
"","1108","Create user","tests.users","Mon Mar 09 15:12:08 UTC 2026","passed","Mon Mar 09 15:12:09 UTC 2026","TestUsers","test_users","",""
"","37","Update exercise","LMS service","Mon Mar 09 15:12:06 UTC 2026","passed","Mon Mar 09 15:12:06 UTC 2026","Update entity","Exercises","",""
"","57","Create course","LMS service","Mon Mar 09 15:12:01 UTC 2026","passed","Mon Mar 09 15:12:01 UTC 2026","Create entity","Courses","",""
"","537","Get user","tests.users","Mon Mar 09 15:12:11 UTC 2026","passed","Mon Mar 09 15:12:11 UTC 2026","TestUsers","test_users","",""
"","1091","Login with correct email and password","LMS service","Mon Mar 09 15:12:00 UTC 2026","passed","Mon Mar 09 15:12:01 UTC 2026","Login","Authentication","",""
"","311","Get course","LMS service","Mon Mar 09 15:12:03 UTC 2026","passed","Mon Mar 09 15:12:03 UTC 2026","Get entity","Courses","",""
"","317","Get courses","LMS service","Mon Mar 09 15:12:04 UTC 2026","passed","Mon Mar 09 15:12:04 UTC 2026","Get entities","Courses","",""
"","553","Create file with empty filename","LMS service","Mon Mar 09 15:12:07 UTC 2026","passed","Mon Mar 09 15:12:08 UTC 2026","Validate entity","Files","",""
"","277","Create file with empty directory","LMS service","Mon Mar 09 15:12:08 UTC 2026","passed","Mon Mar 09 15:12:08 UTC 2026","Validate entity","Files","",""
"","23","Create file with incorrect file id","LMS service","Mon Mar 09 15:12:08 UTC 2026","passed","Mon Mar 09 15:12:08 UTC 2026","Validate entity","Files","",""
"","44","Update course","LMS service","Mon Mar 09 15:12:02 UTC 2026","passed","Mon Mar 09 15:12:02 UTC 2026","Update entity","Courses","",""
"","1090","Create user","tests.users","Mon Mar 09 15:12:08 UTC 2026","passed","Mon Mar 09 15:12:09 UTC 2026","TestUsers","test_users","",""
"","317","Delete exercise","LMS service","Mon Mar 09 15:12:05 UTC 2026","passed","Mon Mar 09 15:12:06 UTC 2026","Delete entity","Exercises","",""
"","35","Create exercise","LMS service","Mon Mar 09 15:12:04 UTC 2026","passed","Mon Mar 09 15:12:04 UTC 2026","Create entity","Exercises","",""
"","879","Delete course","LMS service","Mon Mar 09 15:12:01 UTC 2026","passed","Mon Mar 09 15:12:02 UTC 2026","Delete entity","Courses","",""
"","817","Update user","tests.users","Mon Mar 09 15:12:11 UTC 2026","passed","Mon Mar 09 15:12:12 UTC 2026","TestUsers","test_users","",""
"","34","Create file","LMS service","Mon Mar 09 15:12:06 UTC 2026","passed","Mon Mar 09 15:12:06 UTC 2026","Create entity","Files","",""
"","25","Delete file","LMS service","Mon Mar 09 15:12:10 UTC 2026","passed","Mon Mar 09 15:12:10 UTC 2026","Delete entity","Files","",""
"","1113","Create user","tests.users","Mon Mar 09 15:12:08 UTC 2026","passed","Mon Mar 09 15:12:09 UTC 2026","TestUsers","test_users","",""
"","0","Successful refresh token","LMS service","Mon Mar 09 15:12:01 UTC 2026","skipped","Mon Mar 09 15:12:01 UTC 2026","Refresh token","Authentication","",""
"","547","Delete user","tests.users","Mon Mar 09 15:12:11 UTC 2026","passed","Mon Mar 09 15:12:12 UTC 2026","TestUsers","test_users","",""
